"geoAreaCode","geoAreaName","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal13","goal14","goal15","goal16","goal17"
"4","Afghanistan","28.27","65.63","59.36","15.71","8.33","67.46","100","37.5","46.88","46.67","30.74","26.36","11.56","37.5","49.76","18.75","57.63"
"8","Albania","38.86","65.63","65.06","23.7","26.39","62.81","60","52.08","62.5","51.85","17.96","26.36","10","40","47.38","11.36","55.88"
"12","Algeria","26.68","65.63","68.59","10","8.33","65.38","100","43.75","60.94","45.24","18.33","35.61","12.67","43.33","47.38","19.44","53.65"
"20","Andorra","14.29","62.5","38.46","22.96","9.72","50.95","60","8.33","25","16.67","5.56","16.66","0","30","39.35","7.58","19.49"
"24","Angola","30.53","65.63","57.05","10","8.33","52.21","100","29.17","60.94","53.33","35.37","24.55","16.67","40","47.38","16.67","58.93"
"28","Antigua and Barbuda","13.1","62.5","63.97","34.9","8.33","47.04","100","25","35.94","38.33","5.56","35.45","0","40","43.51","12.5","41.23"
"32","Argentina","55.49","65.63","75.38","26.29","13.89","51.83","100","64.58","79.69","53.33","27.96","37.33","10.89","43.33","47.38","21.53","59.53"
"51","Armenia","60.41","65.63","71.54","35.62","34.72","65.38","100","70.83","71.88","56.67","33.7","38.4","16","37.5","47.38","21.53","59.86"
"36","Australia","32.87","65.63","73.72","25.08","22.22","59.67","60","64.58","69.64","48.41","21.67","26.36","20.33","53.33","47.38","16.82","49.26"
"40","Austria","37.28","62.5","76.6","27.41","15.28","62.81","60","56.25","82.14","61.11","12.59","27.17","10.33","30","49.76","7.42","42.65"
"31","Azerbaijan","29.17","65.63","67.05","50.57","22.22","71.63","100","41.67","71.88","40","8.33","30.67","3.33","41.67","47.38","20.69","58.22"
"44","Bahamas","7.14","56.25","62.05","10.67","8.33","29.29","100","39.58","35.94","30","5.56","34.55","0","43.33","34.88","14.58","39.76"
"48","Bahrain","16.67","59.38","65.26","44","19.44","51.21","80","29.17","48.44","36.67","5.56","37.86","0","40","32.8","11.94","38.78"
"50","Bangladesh","39.17","70.83","78.97","35.67","31.94","75.13","100","43.75","67.19","46.67","29.44","34.55","15.33","43.33","47.38","16.67","59.86"
"52","Barbados","20.97","71.88","63.59","22.05","22.22","44.96","100","39.58","42.19","30","15","25.45","8.67","43.33","35.18","14.58","41.23"
"112","Belarus","49.4","65.63","65.06","45.82","33.33","55.95","60","58.33","75","51.85","25","31.2","15","30","43.21","14.39","55.88"
