country,gdp.2005,gdp.2006,gdp.2007,gdp.2008,pop.2005,pop.2006,pop.2007,pop.2008,unemp.2005,unemp.2006,unemp.2007,unemp.2008
AD,3.851227773,4.025933064,4.027543883,3.681577711,0.078867,0.080993,0.082684,0.083862,MISSING,MISSING,MISSING,MISSING
AE,257.3669389,282.6849476,291.6867393,300.9969025,4.588225,5.300174,6.168838,7.089487,3.119999886,2.773000002,2.467000008,2.332999945
AF,9.164598459,9.655582954,10.99059471,11.42197377,25.654277,26.433049,27.100536,27.722276,2.941999912,2.825000048,2.128000021,2.493999958
AG,1.14841998,1.294596703,1.414468856,1.41404263,0.081465,0.082704,0.084026,0.085397,MISSING,MISSING,MISSING,MISSING
AL,9.223229131,9.767407393,10.3514966,11.1278557,3.011487,2.992547,2.970017,2.947314,16.87400055,16.3939991,15.9659996,13.06000042
AM,7.667755681,8.679746346,9.873142201,10.55438901,2.981269,2.958307,2.932618,2.907618,10.80000019,10.28100014,9.812000275,16.36800003
AO,56.04608474,62.51810904,71.27690752,79.23578561,19.433602,20.149901,20.905363,21.695634,20.53199959,17.67399979,14.63300037,12.04399967
AR,333.6183114,360.4650823,392.9345184,408.8767878,38.892931,39.289878,39.684295,40.08016,11.50599957,10.07699966,8.470000267,7.836999893
AS,0.629286344,0.603066079,0.614907489,0.598837004,0.059562,0.059107,0.058365,0.057492,MISSING,MISSING,MISSING,MISSING
AT,367.2726462,379.958397,394.1210245,399.8768612,8.227829,8.268641,8.295487,8.321496,5.627999783,5.243000031,4.857999802,4.127999783
AU,995.5494782,1023.370938,1062.712484,1101.585579,20.3948,20.6979,20.8276,21.2492,5.032000065,4.782000065,4.376999855,4.234000206
AW,2.698824913,2.727178946,2.776274327,2.773756031,0.100031,0.100834,0.101222,0.101358,MISSING,MISSING,MISSING,MISSING
AZ,24.74090293,33.26815433,41.73929629,46.16008769,8.39185,8.48455,8.5813,8.7634,7.300000191,6.619999886,6.539999962,6.050000191
BA,14.93780251,15.74702356,16.6691039,17.57369059,3.765331,3.765424,3.762786,3.754271,30.48999977,31.11000061,28.98399925,23.40500069
BB,4.480929076,4.734925055,4.822923662,4.866922966,0.276323,0.277477,0.2787,0.279946,9.079999924,8.729999542,7.409999847,8.119999886
BD,85.86035648,91.58887788,98.05376982,103.9505174,139.035505,140.921167,142.660376,144.304167,4.25,3.59100008,3.767999887,4.077000141
BE,446.8258063,458.2303816,475.0791381,477.2023454,10.478617,10.547958,10.6257,10.709973,8.43999958,8.24600029,7.458000183,6.975999832
BF,6.871593161,7.30128478,7.714172808,8.276883001,13.42193,13.829176,14.252021,14.689725,4,3.698999882,3.299999952,3.594000101
BG,42.59279816,45.52077975,48.86401787,51.80655205,7.658972,7.601022,7.545338,7.492561,10.08300018,8.951000214,6.877999783,5.609000206
BH,19.62047872,20.88933511,22.6218883,24.03390957,0.889164,0.958418,1.035919,1.114641,0.986000001,0.904999971,0.838,0.834999979
