Year;variable2;cod;variable;bd;area;Distribución de la producción bibliografica de autores vinculados a la institución por área OCDE;Distribución de la producción bibliografica de autores vinculados a la institución por área OCDE. (SCIELO);Distribución de la producción bibliografica de autores vinculados a la institución por área OCDE. (SCOPUS);Distribución de la producción bibliografica de autores vinculados a la institución por área OCDE. (WOS core collection);Producción bibliográfica de autores vinculados a la institución por tipo de coautoría;Producción bibliográfica de autores vinculados a la institución por tipo de coautoría (WOS core collection);Producción bibliográfica de autores vinculados a la institución por tipo de coautoría . (SCIELO);Producción bibliográfica de autores vinculados a la institución por tipo de coautoría . (SCOPUS);Producción bibliográfica de autores vinculados a la institución por tipo de producto;Producción bibliográfica de autores vinculados a la institución por tipo de producto. (SCIELO);Producción bibliográfica de autores vinculados a la institución por tipo de producto. (SCOPUS);Producción bibliográfica de autores vinculados a la institución por tipo de producto. (WOS core collection);Promedio de citas de documentos publicados por autores vinculados a la institución;Promedio de citas de documentos publicados por autores vinculados a la institución. (SCIELO);Promedio de citas de documentos publicados por autores vinculados a la institución. (SCOPUS);Promedio de citas de documentos publicados por autores vinculados a la institución. (WOS core collection);Departamento
2009;Agricultural Sciences;0;scielo;SCIELO;Producción bibliográfica;NA;86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nacional
2009;Agricultural Sciences;0;scopus;SCOPUS;Producción bibliográfica;NA;NA;411;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nacional
2009;Agricultural Sciences;0;TOTAL;TOTAL;Producción bibliográfica;508;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nacional
2009;Agricultural Sciences;0;wos;WOS;Producción bibliográfica;NA;NA;NA;318;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nacional
2009;Agricultural Sciences;11;scielo;SCIELO;Producción bibliográfica;NA;161;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Bogotá
2009;Agricultural Sciences;11;scopus;SCOPUS;Producción bibliográfica;NA;NA;372;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Bogotá
2009;Agricultural Sciences;11;TOTAL;TOTAL;Producción bibliográfica;542;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Bogotá
2009;Agricultural Sciences;11;wos;WOS;Producción bibliográfica;NA;NA;NA;271;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Bogotá
2009;Agricultural Sciences;13;scopus;SCOPUS;Producción bibliográfica;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Bolívar
2009;Agricultural Sciences;13;TOTAL;TOTAL;Producción bibliográfica;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Bolívar
2009;Agricultural Sciences;13;wos;WOS;Producción bibliográfica;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Bolívar
2009;Agricultural Sciences;15;scielo;SCIELO;Producción bibliográfica;NA;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Boyacá
2009;Agricultural Sciences;15;scopus;SCOPUS;Producción bibliográfica;NA;NA;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Boyacá
2009;Agricultural Sciences;15;TOTAL;TOTAL;Producción bibliográfica;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Boyacá
2009;Agricultural Sciences;15;wos;WOS;Producción bibliográfica;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Boyacá
2009;Agricultural Sciences;17;scielo;SCIELO;Producción bibliográfica;NA;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Caldas
2009;Agricultural Sciences;17;scopus;SCOPUS;Producción bibliográfica;NA;NA;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Caldas
2009;Agricultural Sciences;17;TOTAL;TOTAL;Producción bibliográfica;43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Caldas
2009;Agricultural Sciences;17;wos;WOS;Producción bibliográfica;NA;NA;NA;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Caldas
2009;Agricultural Sciences;18;scopus;SCOPUS;Producción bibliográfica;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Caquetá
2009;Agricultural Sciences;18;TOTAL;TOTAL;Producción bibliográfica;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Caquetá
2009;Agricultural Sciences;18;wos;WOS;Producción bibliográfica;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Caquetá
2009;Agricultural Sciences;19;scielo;SCIELO;Producción bibliográfica;NA;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cauca
2009;Agricultural Sciences;19;scopus;SCOPUS;Producción bibliográfica;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cauca
2009;Agricultural Sciences;19;TOTAL;TOTAL;Producción bibliográfica;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cauca
2009;Agricultural Sciences;19;wos;WOS;Producción bibliográfica;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cauca
2009;Agricultural Sciences;20;scielo;SCIELO;Producción bibliográfica;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cesar
2009;Agricultural Sciences;20;scopus;SCOPUS;Producción bibliográfica;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cesar
2009;Agricultural Sciences;20;TOTAL;TOTAL;Producción bibliográfica;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cesar
2009;Agricultural Sciences;23;scielo;SCIELO;Producción bibliográfica;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Córdoba
2009;Agricultural Sciences;23;scopus;SCOPUS;Producción bibliográfica;NA;NA;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Córdoba
2009;Agricultural Sciences;23;TOTAL;TOTAL;Producción bibliográfica;48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Córdoba
2009;Agricultural Sciences;23;wos;WOS;Producción bibliográfica;NA;NA;NA;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Córdoba
2009;Agricultural Sciences;25;scielo;SCIELO;Producción bibliográfica;NA;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cundinamarca
2009;Agricultural Sciences;25;scopus;SCOPUS;Producción bibliográfica;NA;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cundinamarca
2009;Agricultural Sciences;25;TOTAL;TOTAL;Producción bibliográfica;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cundinamarca
2009;Agricultural Sciences;25;wos;WOS;Producción bibliográfica;NA;NA;NA;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cundinamarca
2009;Agricultural Sciences;27;scielo;SCIELO;Producción bibliográfica;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Chocó
2009;Agricultural Sciences;27;scopus;SCOPUS;Producción bibliográfica;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Chocó
2009;Agricultural Sciences;27;TOTAL;TOTAL;Producción bibliográfica;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Chocó
2009;Agricultural Sciences;27;wos;WOS;Producción bibliográfica;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Chocó
2009;Agricultural Sciences;41;scielo;SCIELO;Producción bibliográfica;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Huila
2009;Agricultural Sciences;41;scopus;SCOPUS;Producción bibliográfica;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Huila
2009;Agricultural Sciences;41;TOTAL;TOTAL;Producción bibliográfica;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Huila
2009;Agricultural Sciences;47;scielo;SCIELO;Producción bibliográfica;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Magdalena
2009;Agricultural Sciences;47;scopus;SCOPUS;Producción bibliográfica;NA;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Magdalena
2009;Agricultural Sciences;47;TOTAL;TOTAL;Producción bibliográfica;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Magdalena
2009;Agricultural Sciences;47;wos;WOS;Producción bibliográfica;NA;NA;NA;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Magdalena
2009;Agricultural Sciences;5;scielo;SCIELO;Producción bibliográfica;NA;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Antioquia
2009;Agricultural Sciences;5;scopus;SCOPUS;Producción bibliográfica;NA;NA;146;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Antioquia
2009;Agricultural Sciences;5;TOTAL;TOTAL;Producción bibliográfica;189;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Antioquia
2009;Agricultural Sciences;5;wos;WOS;Producción bibliográfica;NA;NA;NA;115;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Antioquia
2009;Agricultural Sciences;50;scielo;SCIELO;Producción bibliográfica;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Meta
2009;Agricultural Sciences;50;scopus;SCOPUS;Producción bibliográfica;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Meta
2009;Agricultural Sciences;50;TOTAL;TOTAL;Producción bibliográfica;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Meta
2009;Agricultural Sciences;50;wos;WOS;Producción bibliográfica;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Meta
2009;Agricultural Sciences;52;scielo;SCIELO;Producción bibliográfica;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Narińo
2009;Agricultural Sciences;52;scopus;SCOPUS;Producción bibliográfica;NA;NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Narińo
2009;Agricultural Sciences;52;TOTAL;TOTAL;Producción bibliográfica;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Narińo
2009;Agricultural Sciences;52;wos;WOS;Producción bibliográfica;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Narińo
2009;Agricultural Sciences;54;scielo;SCIELO;Producción bibliográfica;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Norte de Santander
2009;Agricultural Sciences;54;scopus;SCOPUS;Producción bibliográfica;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Norte de Santander
2009;Agricultural Sciences;54;TOTAL;TOTAL;Producción bibliográfica;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Norte de Santander
2009;Agricultural Sciences;54;wos;WOS;Producción bibliográfica;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Norte de Santander
2009;Agricultural Sciences;63;scielo;SCIELO;Producción bibliográfica;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Quindío
2009;Agricultural Sciences;63;scopus;SCOPUS;Producción bibliográfica;NA;NA;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Quindío
2009;Agricultural Sciences;63;TOTAL;TOTAL;Producción bibliográfica;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Quindío
